year	year_id	team_id	team_name	jersey_number	summary_type	class_year	position	height	games_played	games_started	minutes_played	field_goals_made	field_goals_attempted	field_goal_percentage	three_point_field_goals	three_point_field_goals_attempted	three_point_field_goal_percentage	free_throws	free_throws_attempted	free_throw_percentage	points	point_per_game	offensive_rebounds	defensive_rebounds	total_rebounds	rebounds_per_game	assists	turnovers	steals	blocks	fouls	double_doubles	triple_doubles	dq
2017	12480	365	LSU	-	Opponent Totals	-	-	-	-	-	6200:00	897	1,899	47.24	277	724	38.26	501	698	71.78	2,572	82.97	350	791	1,141	36.81	484	383	215	112	556	""	""	11
2017	12480	340	La Salle	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	37	49	86	2.87	""	6	""	""	1	""	""	""
2017	12480	340	La Salle	-	Totals	-	-	-	-	-	6100:00	761	1,666	45.68	255	700	36.43	489	638	76.65	2,266	75.53	249	724	973	32.43	425	393	191	64	560	""	""	13
2017	12480	340	La Salle	-	Opponent Totals	-	-	-	-	-	6100:00	810	1,733	46.74	262	665	39.40	415	573	72.43	2,297	76.57	276	721	997	33.23	450	374	185	87	549	""	""	7
2017	12480	498	La.-Monroe	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	56	53	109	3.30	""	11	""	""	""	""	""	""
2017	12480	498	La.-Monroe	-	Totals	-	-	-	-	-	6750:00	814	1,916	42.48	237	713	33.24	333	498	66.87	2,198	66.61	349	825	1,174	35.58	443	433	154	73	576	""	""	13
2017	12480	498	La.-Monroe	-	Opponent Totals	-	-	-	-	-	6750:00	816	1,881	43.38	239	671	35.62	428	633	67.61	2,299	69.67	335	821	1,156	35.03	426	373	201	129	530	""	""	8
2017	12480	342	Lafayette 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	24	60	84	2.80	""	8	""	""	1	""	""	""
2017	12480	342	Lafayette 	-	Totals	-	-	-	-	-	6026:00	712	1,655	43.02	221	661	33.43	350	492	71.14	1,995	66.50	205	751	956	31.87	378	436	148	85	515	""	""	6
2017	12480	342	Lafayette 	-	Opponent Totals	-	-	-	-	-	6029:00	807	1,767	45.67	292	771	37.87	376	550	68.36	2,282	76.07	302	819	1,121	37.37	449	389	229	65	541	""	""	4
2017	12480	346	Lamar University	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	63	55	118	3.47	""	10	""	""	""	""	""	""
2017	12480	346	Lamar University	-	Totals	-	-	-	-	-	6875:00	907	1,978	45.85	265	733	36.15	544	814	66.83	2,623	77.15	389	803	1,192	35.06	481	455	271	95	733	""	""	12
2017	12480	346	Lamar University	-	Opponent Totals	-	-	-	-	-	6875:00	853	1,850	46.11	187	580	32.24	541	766	70.63	2,434	71.59	332	833	1,165	34.26	452	545	199	154	694	""	""	14
2017	12480	352	Lehigh	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	37	54	91	2.94	""	16	""	""	""	""	""	""
2017	12480	352	Lehigh	-	Totals	-	-	-	-	-	6475:00	857	1,788	47.93	270	689	39.19	448	580	77.24	2,432	76.00	232	868	1,100	34.38	467	450	215	99	539	""	""	12
2017	12480	352	Lehigh	-	Opponent Totals	-	-	-	-	-	6475:00	816	1,880	43.40	249	718	34.68	380	519	73.22	2,261	70.66	270	757	1,027	32.09	435	419	204	82	568	""	""	8
2017	12480	355	Liberty 	-	TEAM	-	-	-	-	-	""	""	""	""	""	""	""	""	""	""	""	""	37	59	96	2.74	""	8	""	""	1	""	""	""
2017	12480	355	Liberty 	-	Totals	-	-	-	-	-	7073:00	779	1,787	43.59	319	888	35.92	454	612	74.18	2,331	66.60	173	817	990	28.29	453	363	229	65	671	""	""	15
