game_id	period_id	category	team_value	opponent_value
4231633	1st Half	Pts in Paint	""	""
4231633	2nd Half	Time of Possession	528	672
4231633	2nd Half	Scoring Time of Possession	173	263
4231633	2nd Half	Times Took Lead	0	0
4231633	2nd Half	Largest Lead	0	""
4231633	2nd Half	Time of Largest Lead	-	""
4231633	2nd Half	Bench Pts	22	9
4231633	2nd Half	Times Tied Score	0	0
4231633	2nd Half	2nd Chance Pts	2	7
4231633	2nd Half	Pts off TO	7	10
4231633	2nd Half	Fastbreak Pts	""	""
4231633	2nd Half	Pts in Paint	""	""
4231633	Game Stats	Time of Possession	1,107	1,293
4231633	Game Stats	Scoring Time of Possession	427	449
4231633	Game Stats	Times Took Lead		
4231633	Game Stats	Largest Lead	29	
4231633	Game Stats	Time of Largest Lead		
4231633	Game Stats	Bench Pts	31	25
4231633	Game Stats	Times Tied Score	1	
4231633	Game Stats	2nd Chance Pts	9	18
4231633	Game Stats	Pts off TO	23	11
4231633	Game Stats	Fastbreak Pts		
4231633	Game Stats	Pts in Paint		
4231646	1st Half	Time of Possession	619	581
4231646	1st Half	Scoring Time of Possession	280	315
4231646	1st Half	Times Took Lead	1	1
4231646	1st Half	Largest Lead	5	14
4231646	1st Half	Time of Largest Lead	1st-17:19	1st-04:30
4231646	1st Half	Bench Pts	15	21
4231646	1st Half	Times Tied Score	0	0
4231646	1st Half	2nd Chance Pts	7	6
4231646	1st Half	Pts off TO	4	7
4231646	1st Half	Fastbreak Pts	0	0
4231646	1st Half	Pts in Paint	16	6
4231646	2nd Half	Time of Possession	564	611
4231646	2nd Half	Scoring Time of Possession	339	215
4231646	2nd Half	Times Took Lead	0	0
4231646	2nd Half	Largest Lead	0	21
4231646	2nd Half	Time of Largest Lead	-	2nd-10:20
4231646	2nd Half	Bench Pts	8	7
4231646	2nd Half	Times Tied Score	0	0
4231646	2nd Half	2nd Chance Pts	8	0
4231646	2nd Half	Pts off TO	9	7
4231646	2nd Half	Fastbreak Pts	2	0
4231646	2nd Half	Pts in Paint	12	6
4231646	Game Stats	Time of Possession	1,192	1,183
4231646	Game Stats	Scoring Time of Possession	530	619
4231646	Game Stats	Times Took Lead	1	1
4231646	Game Stats	Largest Lead	21	5
4231646	Game Stats	Time of Largest Lead		
4231646	Game Stats	Bench Pts	28	23
4231646	Game Stats	Times Tied Score		
4231646	Game Stats	2nd Chance Pts	6	15
4231646	Game Stats	Pts off TO	14	13
4231646	Game Stats	Fastbreak Pts	2	
4231646	Game Stats	Pts in Paint	12	28
4231682	1st Half	Time of Possession	617	583
4231682	1st Half	Scoring Time of Possession	275	232
4231682	1st Half	Times Took Lead	2	2
4231682	1st Half	Largest Lead	0	0
4231682	1st Half	Time of Largest Lead	-	-
4231682	1st Half	Bench Pts	7	8
4231682	1st Half	Times Tied Score	2	1
4231682	1st Half	2nd Chance Pts	10	0
4231682	1st Half	Pts off TO	7	3
4231682	1st Half	Fastbreak Pts	""	""
4231682	1st Half	Pts in Paint	""	""
4231682	2nd Half	Time of Possession	568	632
4231682	2nd Half	Scoring Time of Possession	219	278
4231682	2nd Half	Times Took Lead	1	1
4231682	2nd Half	Largest Lead	0	0
4231682	2nd Half	Time of Largest Lead	-	-
4231682	2nd Half	Bench Pts	5	6
4231682	2nd Half	Times Tied Score	1	2
4231682	2nd Half	2nd Chance Pts	6	6
4231682	2nd Half	Pts off TO	1	7
4231682	2nd Half	Fastbreak Pts	""	""
4231682	2nd Half	Pts in Paint	""	""
4231682	Game Stats	Time of Possession	1,185	1,215
4231682	Game Stats	Scoring Time of Possession	494	510
4231682	Game Stats	Times Took Lead	3	3
4231682	Game Stats	Largest Lead	8	10
4231682	Game Stats	Time of Largest Lead		
4231682	Game Stats	Bench Pts	12	14
4231682	Game Stats	Times Tied Score	3	3
4231682	Game Stats	2nd Chance Pts	16	6
4231682	Game Stats	Pts off TO	8	10
4231682	Game Stats	Fastbreak Pts		
4231682	Game Stats	Pts in Paint		
4231702	1st Half	Time of Possession	649	551
4231702	1st Half	Scoring Time of Possession	374	253
4231702	1st Half	Times Took Lead	3	4
4231702	1st Half	Largest Lead	0	0
4231702	1st Half	Time of Largest Lead	-	-
4231702	1st Half	Bench Pts	12	19
4231702	1st Half	Times Tied Score	1	5
4231702	1st Half	2nd Chance Pts	0	2
4231702	1st Half	Pts off TO	4	13
4231702	1st Half	Fastbreak Pts	""	""
4231702	1st Half	Pts in Paint	""	""
4231702	2nd Half	Time of Possession	554	646
4231702	2nd Half	Scoring Time of Possession	238	334
4231702	2nd Half	Times Took Lead	4	4
4231702	2nd Half	Largest Lead	0	0
4231702	2nd Half	Time of Largest Lead	-	-
4231702	2nd Half	Bench Pts	11	7
4231702	2nd Half	Times Tied Score	3	1
4231702	2nd Half	2nd Chance Pts	4	10
4231702	2nd Half	Pts off TO	6	6
4231702	2nd Half	Fastbreak Pts	""	""
4231702	2nd Half	Pts in Paint	""	""
4231702	Game Stats	Time of Possession	1,203	1,197
4231702	Game Stats	Scoring Time of Possession	612	587
4231702	Game Stats	Times Took Lead	7	8
4231702	Game Stats	Largest Lead	8	16
4231702	Game Stats	Time of Largest Lead		
4231702	Game Stats	Bench Pts	23	26
4231702	Game Stats	Times Tied Score	4	6
4231702	Game Stats	2nd Chance Pts	4	12
4231702	Game Stats	Pts off TO	10	19
4231702	Game Stats	Fastbreak Pts		
4231702	Game Stats	Pts in Paint		
4231709	1st Half	Time of Possession	614	586
4231709	1st Half	Scoring Time of Possession	196	183
4231709	1st Half	Times Took Lead	2	2
4231709	1st Half	Largest Lead	0	0
4231709	1st Half	Time of Largest Lead	-	-
4231709	1st Half	Bench Pts	11	10
4231709	1st Half	Times Tied Score	1	3
4231709	1st Half	2nd Chance Pts	3	5
4231709	1st Half	Pts off TO	7	5
4231709	1st Half	Fastbreak Pts	0	0
4231709	1st Half	Pts in Paint	10	10
4231709	2nd Half	Time of Possession	609	591
4231709	2nd Half	Scoring Time of Possession	243	324
4231709	2nd Half	Times Took Lead	0	1
4231709	2nd Half	Largest Lead	0	0
4231709	2nd Half	Time of Largest Lead	-	-
4231709	2nd Half	Bench Pts	17	16
4231709	2nd Half	Times Tied Score	2	0
4231709	2nd Half	2nd Chance Pts	3	8
4231709	2nd Half	Pts off TO	7	12
4231709	2nd Half	Fastbreak Pts	0	0
4231709	2nd Half	Pts in Paint	14	14
4231709	Game Stats	Time of Possession	1,223	1,177
4231709	Game Stats	Scoring Time of Possession	439	507
4231709	Game Stats	Times Took Lead	2	3
4231709	Game Stats	Largest Lead	9	15
4231709	Game Stats	Time of Largest Lead		
4231709	Game Stats	Bench Pts	28	26
4231709	Game Stats	Times Tied Score	3	3
4231709	Game Stats	2nd Chance Pts	6	13
4231709	Game Stats	Pts off TO	14	17
4231709	Game Stats	Fastbreak Pts		
4231709	Game Stats	Pts in Paint	24	24
4231771	1st Half	Time of Possession	537	662
4231771	1st Half	Scoring Time of Possession	127	147
4231771	1st Half	Times Took Lead	0	0
4231771	1st Half	Largest Lead	""	""
4231771	1st Half	Time of Largest Lead	""	""
4231771	1st Half	Bench Pts	2	6
4231771	1st Half	Times Tied Score	0	1
4231771	1st Half	2nd Chance Pts	5	0
4231771	1st Half	Pts off TO	14	4
4231771	1st Half	Fastbreak Pts	""	""
4231771	1st Half	Pts in Paint	""	""
4231771	2nd Half	Time of Possession	541	653
4231771	2nd Half	Scoring Time of Possession	213	257
4231771	2nd Half	Times Took Lead	0	0
4231771	2nd Half	Largest Lead	""	""
4231771	2nd Half	Time of Largest Lead	""	""
4231771	2nd Half	Bench Pts	8	18
4231771	2nd Half	Times Tied Score	0	0
4231771	2nd Half	2nd Chance Pts	3	7
4231771	2nd Half	Pts off TO	10	11
4231771	2nd Half	Fastbreak Pts	""	""
4231771	2nd Half	Pts in Paint	""	""
4231771	Game Stats	Time of Possession	1,078	1,315
4231771	Game Stats	Scoring Time of Possession	340	404
4231771	Game Stats	Times Took Lead		
4231771	Game Stats	Largest Lead		
4231771	Game Stats	Time of Largest Lead		
4231771	Game Stats	Bench Pts	10	24
4231771	Game Stats	Times Tied Score	1	
4231771	Game Stats	2nd Chance Pts	8	7
4231771	Game Stats	Pts off TO	24	15
4231771	Game Stats	Fastbreak Pts		
4231771	Game Stats	Pts in Paint		
4231816	1st Half	Time of Possession	525	675
4231816	1st Half	Scoring Time of Possession	301	160
4231816	1st Half	Times Took Lead	0	0
4231816	1st Half	Largest Lead	0	""
4231816	1st Half	Time of Largest Lead	-	""
4231816	1st Half	Bench Pts	28	7
4231816	1st Half	Times Tied Score	0	0
4231816	1st Half	2nd Chance Pts	2	2
4231816	1st Half	Pts off TO	8	2
4231816	1st Half	Fastbreak Pts	7	0
4231816	1st Half	Pts in Paint	18	4
4231816	2nd Half	Time of Possession	645	554
4231816	2nd Half	Scoring Time of Possession	233	268
4231816	2nd Half	Times Took Lead	0	0
4231816	2nd Half	Largest Lead	0	""
4231816	2nd Half	Time of Largest Lead	-	""
4231816	2nd Half	Bench Pts	15	23
4231816	2nd Half	Times Tied Score	0	0
4231816	2nd Half	2nd Chance Pts	9	5
4231816	2nd Half	Pts off TO	10	12
4231816	2nd Half	Fastbreak Pts	0	7
4231816	2nd Half	Pts in Paint	18	14
4231816	Game Stats	Time of Possession	1,170	1,229
4231816	Game Stats	Scoring Time of Possession	534	428
4231816	Game Stats	Times Took Lead		
4231816	Game Stats	Largest Lead	46	
4231816	Game Stats	Time of Largest Lead		
4231816	Game Stats	Bench Pts	43	30
4231816	Game Stats	Times Tied Score		
4231816	Game Stats	2nd Chance Pts	11	7
4231816	Game Stats	Pts off TO	18	14
4231816	Game Stats	Fastbreak Pts	7	7
4231816	Game Stats	Pts in Paint	36	18
4231865	1st Half	Time of Possession	0	0
4231865	1st Half	Scoring Time of Possession	7,305	7,041
4231865	1st Half	Times Took Lead	1	1
4231865	1st Half	Largest Lead	4	14
4231865	1st Half	Time of Largest Lead	1st-14:04	1st-01:29
4231865	1st Half	Bench Pts	11	19
4231865	1st Half	Times Tied Score	1	1
4231865	1st Half	2nd Chance Pts	8	4
4231865	1st Half	Pts off TO	8	7
4231865	1st Half	Fastbreak Pts	6	2
4231865	1st Half	Pts in Paint	16	10
4231865	2nd Half	Time of Possession	0	0
4231865	2nd Half	Scoring Time of Possession	18,101	9,734
4231865	2nd Half	Times Took Lead	1	0
4231865	2nd Half	Largest Lead	17	11
4231865	2nd Half	Time of Largest Lead	2nd-00:24	2nd-17:42
4231865	2nd Half	Bench Pts	5	14
4231865	2nd Half	Times Tied Score	2	0
4231865	2nd Half	2nd Chance Pts	14	0
4231865	2nd Half	Pts off TO	2	2
4231865	2nd Half	Fastbreak Pts	7	2
4231865	2nd Half	Pts in Paint	16	12
4231865	Game Stats	Time of Possession		
4231865	Game Stats	Scoring Time of Possession		
4231865	Game Stats	Times Took Lead	2	1
4231865	Game Stats	Largest Lead	17	14
4231865	Game Stats	Time of Largest Lead		
4231865	Game Stats	Bench Pts	16	33
4231865	Game Stats	Times Tied Score	3	1
4231865	Game Stats	2nd Chance Pts	22	4
4231865	Game Stats	Pts off TO	10	9
4231865	Game Stats	Fastbreak Pts	13	4
4231865	Game Stats	Pts in Paint	32	22
4231866	1st Half	Time of Possession	524	676
4231866	1st Half	Scoring Time of Possession	148	283
4231866	1st Half	Times Took Lead	0	0
4231866	1st Half	Largest Lead	""	0
4231866	1st Half	Time of Largest Lead	""	-
4231866	1st Half	Bench Pts	3	9
4231866	1st Half	Times Tied Score	1	0
4231866	1st Half	2nd Chance Pts	2	5
4231866	1st Half	Pts off TO	4	0
4231866	1st Half	Fastbreak Pts	""	""
4231866	1st Half	Pts in Paint	""	""
4231866	2nd Half	Time of Possession	559	641
4231866	2nd Half	Scoring Time of Possession	264	262
4231866	2nd Half	Times Took Lead	0	0
4231866	2nd Half	Largest Lead	""	0
4231866	2nd Half	Time of Largest Lead	""	-
4231866	2nd Half	Bench Pts	13	9
4231866	2nd Half	Times Tied Score	0	0
4231866	2nd Half	2nd Chance Pts	3	2
4231866	2nd Half	Pts off TO	11	0
4231866	2nd Half	Fastbreak Pts	""	""
4231866	2nd Half	Pts in Paint	""	""
4231866	Game Stats	Time of Possession	1,083	1,317
4231866	Game Stats	Scoring Time of Possession	412	545
4231866	Game Stats	Times Took Lead		
4231866	Game Stats	Largest Lead	12	
4231866	Game Stats	Time of Largest Lead		
4231866	Game Stats	Bench Pts	16	18
4231866	Game Stats	Times Tied Score	1	
4231866	Game Stats	2nd Chance Pts	5	7
4231866	Game Stats	Pts off TO	15	
4231866	Game Stats	Fastbreak Pts		
4231866	Game Stats	Pts in Paint		
4231893	1st Half	Time of Possession	682	518
4231893	1st Half	Scoring Time of Possession	233	264
4231893	1st Half	Times Took Lead	0	1
4231893	1st Half	Largest Lead	0	0
4231893	1st Half	Time of Largest Lead	-	-
4231893	1st Half	Bench Pts	5	2
4231893	1st Half	Times Tied Score	1	0
4231893	1st Half	2nd Chance Pts	7	8
4231893	1st Half	Pts off TO	5	11
4231893	1st Half	Fastbreak Pts	""	""
4231893	1st Half	Pts in Paint	""	""
4231893	2nd Half	Time of Possession	628	572
4231893	2nd Half	Scoring Time of Possession	398	205
4231893	2nd Half	Times Took Lead	1	0
4231893	2nd Half	Largest Lead	0	0
4231893	2nd Half	Time of Largest Lead	-	-
4231893	2nd Half	Bench Pts	15	9
4231893	2nd Half	Times Tied Score	1	0
4231893	2nd Half	2nd Chance Pts	6	5
4231893	2nd Half	Pts off TO	13	10
4231893	2nd Half	Fastbreak Pts	""	""
4231893	2nd Half	Pts in Paint	""	""
4231893	Game Stats	Time of Possession	1,310	1,090
4231893	Game Stats	Scoring Time of Possession	631	469
4231893	Game Stats	Times Took Lead	1	1
4231893	Game Stats	Largest Lead	9	12
4231893	Game Stats	Time of Largest Lead		
4231893	Game Stats	Bench Pts	20	11
4231893	Game Stats	Times Tied Score	2	
4231893	Game Stats	2nd Chance Pts	13	13
4231893	Game Stats	Pts off TO	18	21
4231893	Game Stats	Fastbreak Pts		
4231893	Game Stats	Pts in Paint		
4231898	1st Half	Time of Possession	567	633
4231898	1st Half	Scoring Time of Possession	251	241
4231898	1st Half	Times Took Lead	3	2
4231898	1st Half	Largest Lead	0	0
4231898	1st Half	Time of Largest Lead	-	-
